Home,Away
SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL
SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,SOCA Cville U17 Boys Premier U19 Boys SCSL
SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,NRU U16 Boys U19 Boys SCSL
SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,CVU U17 Boys U19 Boys SCSL
SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL
SOCA Augusta U18/19 Boys Premier U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL
SOCA Augusta U12 Girls Premier U12 Girls SCSL,SOCA Cville U12 Girls Premier U12 Girls SCSL
SOCA Augusta U12 Girls Premier U12 Girls SCSL,NRU U12 Girls U12 Girls SCSL
SOCA Augusta U12 Girls Premier U12 Girls SCSL,CVU U12 Girls U12 Girls SCSL
SOCA Augusta U12 Girls Premier U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL
SOCA Augusta U12 Girls Premier U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL
SOCA Augusta U13 Girls Premier U13 Girls SCSL,SOCA Cville U13 Girls Premier U13 Girls SCSL
SOCA Augusta U13 Girls Premier U13 Girls SCSL,NRU U13 Girls U13 Girls SCSL
SOCA Augusta U13 Girls Premier U13 Girls SCSL,CVU U13 Girls U13 Girls SCSL
SOCA Augusta U13 Girls Premier U13 Girls SCSL,Valley FC U13 Girls U13 Girls SCSL
SOCA Augusta U15 Girls Premier U15 Girls SCSL,SOCA Cville U15 Girls Premier U15 Girls SCSL
SOCA Augusta U15 Girls Premier U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL
SOCA Augusta U15 Girls Premier U15 Girls SCSL,CVU U15 Girls U15 Girls SCSL
SOCA Augusta U15 Girls Premier U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL
SOCA Augusta U15 Girls Premier U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL
SOCA Augusta U19 Girls Premier U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL
SOCA Augusta U19 Girls Premier U19 Girls SCSL,CVU U19 Girls U19 Girls SCSL
SOCA Augusta U19 Girls Premier U19 Girls SCSL,Salem Sabres U18 Girls U19 Girls SCSL
SOCA Augusta U19 Girls Premier U19 Girls SCSL,Valley FC U18 Girls U19 Girls SCSL
CVU U12 Boys U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL
CVU U12 Boys U12 Boys SCSL,SOCA Augusta U12 Boys Premier U12 Boys SCSL
CVU U12 Boys U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL
CVU U12 Boys U12 Boys SCSL,SOCA Cville U12 Boys Premier U12 Boys SCSL
CVU U12 Boys U12 Boys SCSL,NRU U12 Boys U12 Boys SCSL
CVU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL
CVU U13 Boys U13 Boys SCSL,SOCA Augusta U13 Boys Premier U13 Boys SCSL
CVU U13 Boys U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL
CVU U13 Boys U13 Boys SCSL,SOCA Cville U13 Boys Premier U13 Boys SCSL
CVU U13 Boys U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL
CVU U14 Boys U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL
CVU U14 Boys U14 Boys SCSL,SOCA Cville U14 Boys Classic U14 Boys SCSL
CVU U14 Boys U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL
CVU U14 Boys U14 Boys SCSL,SOCA Cville U14 Boys Premier U14 Boys SCSL
CVU U14 Boys U14 Boys SCSL,NRU U14 Boys White U14 Boys SCSL
CVU U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL
CVU U15 Boys Premier U15 Boys SCSL,SOCA Augusta U15 Boys Premier U15 Boys SCSL
CVU U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL
CVU U15 Boys Premier U15 Boys SCSL,SOCA Cville U15 Boys Premier U15 Boys SCSL
CVU U15 Boys Premier U15 Boys SCSL,NRU U14 Boys Blue U15 Boys SCSL
CVU U16 Boys U17 Boys SCSL,Valley FC U16 Boys U17 Boys SCSL
CVU U16 Boys U17 Boys SCSL,SOCA Augusta U16/17 Boys Premier U17 Boys SCSL
CVU U16 Boys U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL
CVU U16 Boys U17 Boys SCSL,SOCA Cville U16 Boys Premier U17 Boys SCSL
CVU U16 Boys U17 Boys SCSL,NRU U15 Boys Premier U17 Boys SCSL
CVU U18 Boys U19 Boys SCSL,Valley FC U19 Boys U19 Boys SCSL
CVU U18 Boys U19 Boys SCSL,SVU U19 Boys U19 Boys SCSL
CVU U18 Boys U19 Boys SCSL,SOCA Cville U19 Boys Premier U19 Boys SCSL
CVU U18 Boys U19 Boys SCSL,NRU U17 Boys Premier U19 Boys SCSL
CVU U18 Boys U19 Boys SCSL,NRU U19 Boys Premier U19 Boys SCSL
CVU U17 Boys U19 Boys SCSL,Valley FC U17 Boys U19 Boys SCSL
CVU U17 Boys U19 Boys SCSL,SOCA Augusta U18/19 Boys Premier U19 Boys SCSL
CVU U17 Boys U19 Boys SCSL,SOCA Cville U17 Boys Premier U19 Boys SCSL
CVU U17 Boys U19 Boys SCSL,NRU U16 Boys U19 Boys SCSL
CVU U17 Boys U19 Boys SCSL,FYSA U17 Boys U19 Boys SCSL
CVU U12 Girls U12 Girls SCSL,Valley FC U12 Girls U12 Girls SCSL
CVU U12 Girls U12 Girls SCSL,SOCA Augusta U12 Girls Premier U12 Girls SCSL
CVU U12 Girls U12 Girls SCSL,SVU U12 Girls U12 Girls SCSL
CVU U12 Girls U12 Girls SCSL,SOCA Cville U12 Girls Premier U12 Girls SCSL
CVU U12 Girls U12 Girls SCSL,NRU U12 Girls U12 Girls SCSL
CVU U13 Girls U13 Girls SCSL,Valley FC U13 Girls U13 Girls SCSL
CVU U13 Girls U13 Girls SCSL,SOCA Augusta U13 Girls Premier U13 Girls SCSL
CVU U13 Girls U13 Girls SCSL,SOCA Cville U13 Girls Premier U13 Girls SCSL
CVU U13 Girls U13 Girls SCSL,NRU U13 Girls U13 Girls SCSL
CVU U14 Girls U14 Girls SCSL,Valley FC U14 Girls U14 Girls SCSL
CVU U14 Girls U14 Girls SCSL,SOCA Cville U14 Girls Classic Blue U14 Girls SCSL
CVU U14 Girls U14 Girls SCSL,SVU U14 Girls U14 Girls SCSL
CVU U14 Girls U14 Girls SCSL,SOCA Cville U14 Girls Premier U14 Girls SCSL
CVU U14 Girls U14 Girls SCSL,NRU U14 Girls U14 Girls SCSL
CVU U15 Girls U15 Girls SCSL,Valley FC U15 Girls U15 Girls SCSL
CVU U15 Girls U15 Girls SCSL,SOCA Augusta U15 Girls Premier U15 Girls SCSL
CVU U15 Girls U15 Girls SCSL,SVU U15 Girls U15 Girls SCSL
CVU U15 Girls U15 Girls SCSL,SOCA Cville U15 Girls Premier U15 Girls SCSL
CVU U15 Girls U15 Girls SCSL,NRU U15 Girls U15 Girls SCSL
CVU U16 Girls U16 Girls SCSL,Valley FC U16 Girls U16 Girls SCSL
CVU U16 Girls U16 Girls SCSL,Salem Sabres U16 Girls U16 Girls SCSL
CVU U16 Girls U16 Girls SCSL,SOCA Cville U16 Girls Premier U16 Girls SCSL
CVU U16 Girls U16 Girls SCSL,NRU U16 Girls U16 Girls SCSL
CVU U17 Girls U19 Girls SCSL,Valley FC U17 Girls U19 Girls SCSL
CVU U17 Girls U19 Girls SCSL,Madison U19 Girls U19 Girls SCSL
CVU U17 Girls U19 Girls SCSL,SVU U19 Girls U19 Girls SCSL
CVU U17 Girls U19 Girls SCSL,SOCA CVille U19 Girls Premier U19 Girls SCSL
CVU U17 Girls U19 Girls SCSL,NRU U17 Girls U19 Girls SCSL
CVU U19 Girls U19 Girls SCSL,Valley FC U18 Girls U19 Girls SCSL
CVU U19 Girls U19 Girls SCSL,SOCA Augusta U19 Girls Premier U19 Girls SCSL
CVU U19 Girls U19 Girls SCSL,NRU U19 Girls U19 Girls SCSL
